scrape_id,store,product_name,brand,current_price,original_price,currency,product_type,category,subcategory,weight_value,weight_unit,discount,product_url,availability,scraped_at
404,Seoudi Supermarket,New Roumy Cheese,,29.88,,EGP,Cheese,Cheese & Labneh,Roumy,0.125,kg,,https://seoudisupermarket.com/en/new-roumy-cheese,Out of Stock,9/14/2026 18:46
405,Seoudi Supermarket,Domty Creamy Cheese with Pastrami,Domty,79.95,99.95,EGP,Cheese,Cheese & Labneh,Creamy Cheese,220,g,20,https://seoudisupermarket.com/en/domty-creamy-cheese-with-pastrami-220-g,Out of Stock,9/14/2026 18:46
406,Seoudi Supermarket,Puck Creamy Cheese Light,Puck,250,,EGP,Cheese,Cheese & Labneh,Creamy Cheese,240,g,,https://seoudisupermarket.com/en/puck-creamy-cheese-light-240-g,Out of Stock,9/14/2026 18:46
407,Seoudi Supermarket,Puck Light Creamy Cheese,Puck,450,,EGP,Cheese,Cheese & Labneh,Creamy Cheese,500,g,,https://seoudisupermarket.com/en/puck-light-creamy-cheese-500g,Out of Stock,9/14/2026 18:46
408,Seoudi Supermarket,Puck Creamy Cheese Rich in Vitamin D,Puck,450,,EGP,Cheese,Cheese & Labneh,Creamy Cheese,500,g,,https://seoudisupermarket.com/en/puck-creamy-cheese-rich-in-vitamin-d-500-g,Out of Stock,9/14/2026 18:46
409,Seoudi Supermarket,Kraft Cheddar Cheese,Kraft,450,,EGP,Cheese,Cheese & Labneh,,480,g,,https://seoudisupermarket.com/en/kraft-cheddar-cheese-480-g,Out of Stock,9/14/2026 18:46
410,Seoudi Supermarket,Kiri Turkish Labneh with Thyme,Kiri,71.95,92,EGP,Labneh,Cheese & Labneh,Labneh,150,g,22,https://seoudisupermarket.com/en/kiri-turkish-labneh-with-thyme-150-g,Out of Stock,9/14/2026 18:46
411,Seoudi Supermarket,Avanti Low Salt Semi Skimmed White Cheese,Avanti,115.5,132.25,EGP,Cheese,Cheese & Labneh,White Cheese,450,g,13,https://seoudisupermarket.com/en/avanti-low-salt-semi-skimmed-white-cheese-450-g,Out of Stock,9/14/2026 18:46
412,Seoudi Supermarket,La Vache Qui Rit Feta Cheese,La Vache Qui Rit,124.95,,EGP,Cheese,Cheese & Labneh,Feta,450,g,,https://seoudisupermarket.com/en/la-vache-qui-rit-feta-cheese-450-g,Out of Stock,9/14/2026 18:46
413,Seoudi Supermarket,La Vache Qui Rit Baramili Cheese,La Vache Qui Rit,124.95,,EGP,Cheese,Cheese & Labneh,Baramili,450,g,,https://seoudisupermarket.com/en/la-vache-qui-rit-baramili-cheese-450-g,Out of Stock,9/14/2026 18:46
